BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
10101261751,2.2727272727272725,2.8272727272727267,1,4.2,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.0234328890546778,1.9131524802086093,17.149820576727723,116.04539860419355,16.757152090909088,60.65663861332161,5.377909090909092,0.26606363636363634,14.09089090909091,16.757152090909088
10101238328,3.0642857142857145,3.535714285714286,1,4.0,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.8539238746731923,2.7076859019728303,101.89949056948674,120.63660091751059,54.96422585714286,44.55339551371683,27.281407142857145,7.408264285714287,26.32042142857143,54.96422585714286
10101241532,1.745,2.255,1,3.9,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.6476492788697568,2.615068943456981,80.51152103284,66.40896061971641,48.86447745,25.394726508406052,18.728265,8.675325,27.934380000000004,48.86447745
10101237393,2.08,2.62,1,4.499999999999999,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.702156104675022,2.55490026359092,32.477663830659566,126.49138930532725,19.08030864,49.5093257094675,6.681388,1.80628,13.568456000000005,19.08030864
10101261735,2.171428571428572,2.5285714285714294,1,4.5,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.7247557647870807,1.9716354422504987,17.80394301209269,59.06576277152519,24.565438285714286,29.95775055864552,21.69267142857143,0.04441428571428572,3.584128571428572,24.565438285714286
10101240208,0.8115384615384614,1.7884615384615383,1,4.0,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.9997747774846912,2.846152295422108,65.6145058511897,45.65681149215322,32.81094780769231,16.04159115645003,14.59808076923077,7.189415384615384,14.590773076923075,32.81094780769231
10101261711,0.3636363636363636,0.7363636363636363,1,3.8,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.7247557647870807,1.9716354422504987,19.372663216976154,59.06576277152519,26.72991945454545,29.95775055864552,16.976481818181814,0.7060545454545454,11.514945454545453,26.72991945454545
10101241516,1.1,1.7,1,3.8,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.9997747774846912,2.846152295422108,27.904249384909566,45.65681149215322,13.953696035714291,16.04159115645003,6.743653571428572,1.2954607142857144,7.601600000000001,13.953696035714291
10101237371,2.00625,2.59375,1,4.299999999999999,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,2.1690728653534355,2.566741520600317,143.80085373250196,124.6000186398323,66.29599956249999,48.54404607546554,19.09808125,18.7743875,37.64270625,66.29599956249999
10101237366,0.375,1.625,1,4.1,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,2.4700985761085024,2.351428139940766,64.37599315187603,123.58334667841395,26.062115,52.556718438151854,9.6911,5.9775,13.686,26.062115
