BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
DDHUCH22400,297.725,299.575,1.0,330.0,vpri,2.0,3.0,9.0,2,Animon,22_23,1.9062617564289963,1.1302319625448427,19.158250027206087,23.83683823792593,10.05016754,21.09021778525414,7.4849739999999985,1.9595015,0.9403255,10.05016754
10336305285,1.0,2.6,8.0,3.8,vpri,2.0,2.0,8.0,6,Animon,22_23,1.6281900000000011,1.6046500259765546,30.773278414958423,22.315022494682253,18.90029936,13.906473145819955,11.9508,3.832113,4.285613,18.90029936
10336309354,1.2,2.9,8.0,4.1,vpri,1.0,1.0,1.0,5,Animon,22_23,1.6768228336452438,1.5786836540396991,64.60817056164669,37.05918901026932,38.53011139,23.474740436716647,8.933812,13.707759,21.326688,38.53011139
10336304513,0.8000000000000002,2.3,8.0,3.6,vpri,2.0,2.0,8.0,6,Animon,22_23,1.617127,1.6408473552694411,11.48663458733448,26.81911073187891,7.10311224,16.34467133444901,4.6591,1.6660669999999995,1.132367,7.10311224
10336309565,1.7,3.5,8.0,4.2,vpri,1.0,1.0,1.0,5,Animon,22_23,1.6768228336452438,1.5786836540396991,57.589948668707635,37.05918901026932,34.344683,23.474740436716647,4.7871,4.0017,32.7038,34.344683
10336304518,1.4,2.8,8.0,3.6,vpri,2.0,2.0,8.0,6,Animon,22_23,1.982283,1.9020599963433515,75.37357552446001,41.860277695495185,38.02362,22.007863987450555,29.8435,3.4838000000000005,6.2534,38.02362
10336305121,0.5,1.7000000000000002,8.0,3.6000000000000005,vpri,2.0,2.0,8.0,6,Animon,22_23,1.845043,1.6781750000000002,19.473943618691,34.86313409977502,10.554737,20.774433,5.3247,3.9263,1.9982,10.554737
10336303278,0.0,1.6000000000000003,8.0,3.2000000000000006,vpri,2.0,2.0,8.0,6,Animon,22_23,1.845043,1.6781750000000002,34.070800203504,34.86313409977502,18.466128,20.774433,12.1324,2.6317,4.9193,18.466128
10336309460,0.8000000000000002,2.4000000000000004,8.0,4.0,vpri,1.0,1.0,1.0,5,Animon,22_23,1.4117300000000006,1.2778964205384058,16.921105189075003,40.37235235092138,11.986077499999999,31.59282059332448,5.0126125,4.141975,3.951175,11.986077499999999
10336309520,0.875,2.625,8.0,4.1,vpri,1.0,1.0,1.0,5,Animon,22_23,1.4117300000000006,1.2778964205384058,9.761865939601902,40.37235235092138,6.9148250299999985,31.59282059332448,3.456414,1.4247,2.7005570000000003,6.9148250299999985
10336305132,1.6,3.0,8.0,4.4,vpri,1.0,1.0,1.0,5,Animon,22_23,2.0394748498289346,1.9092725581031569,34.90413139608123,46.78700600336234,17.114273999999998,24.50514768297133,10.7608,4.7026,2.5064,17.114273999999998
10336304646,0.7,1.9,8.0,3.7000000000000006,vpri,2.0,2.0,8.0,6,Animon,22_23,2.123322,1.9902977806342743,40.645595835509994,51.773502297253025,19.142454999999998,26.012942787261554,16.4512,1.547,1.5855,19.142454999999998
10336309244,1.8,3.8,8.0,3.8,vpri,1.0,1.0,1.0,5,Animon,22_23,1.2163200000000018,1.1958190000000009,11.618721041760017,43.14924161261799,9.552355499999999,36.08342199999996,3.007875,4.4037,3.10005,9.552355499999999
10336303281,1.75,3.25,8.0,4.0,vpri,1.0,1.0,1.0,5,Animon,22_23,1.9878598999542167,1.9023735756257287,75.67992762874638,52.24679816861021,38.071057035,27.46400540778389,27.264993500000006,8.18234,4.0461865,38.071057035
10336309228,1.1,3.0,8.0,3.4000000000000004,vpri,1.0,1.0,1.0,5,Animon,22_23,1.2163200000000018,1.1958190000000009,30.262265329900846,43.14924161261799,24.88018394,36.08342199999996,3.520632,8.623547,16.885637,24.88018394
10336301671,1.775,3.125,8.0,3.8,vpri,1.0,1.0,1.0,5,Animon,22_23,2.3626840000000007,2.1032284427387764,74.29029387690095,60.71274821594001,31.44317813,28.866454533527154,22.370048,4.454685,6.2408519999999985,31.44317813
10336308505,2.1,3.6,8.0,3.6,vpri,1.0,1.0,1.0,5,Animon,22_23,1.0082659999999986,0.9856177199976744,37.35637691704487,36.693707241891694,37.05012062,37.22914726206249,11.436133,22.023333,6.496567,37.05012062
DDHUCH22391,280.3,282.5,1.0,300.15,vpri,2.0,3.0,9.0,2,Animon,22_23,1.2056683954750966,1.0340290221989177,10.530772732096208,15.697601113440445,8.73438565,15.181006312626181,5.816416,2.458082,0.799941,8.73438565
10336308798,1.225,2.475,8.0,3.9,vpri,1.0,1.0,1.0,5,Animon,22_23,0.8208479999999996,0.7803164283187772,11.367842031369593,28.98279685306645,13.848900199999997,37.142364047763344,7.614152000000001,3.781856,3.4400279999999994,13.848900199999997
10336301177,1.3,3.5,8.0,4.0,vpri,1.0,1.0,1.0,5,Animon,22_23,2.290126000000002,2.0271881906609384,51.08864354431019,58.361865070360956,22.30822389,28.78956445150405,10.854527,8.9516,3.960391,22.30822389
10336304613,1.9,3.0,8.0,4.0,vpri,1.0,1.0,1.0,5,Animon,22_23,1.725466639540804,1.476420823453804,94.64487854916541,49.36687870358446,54.851758,33.43686157724333,11.0284,15.3802,37.3668,54.851758
10336301427,0.0,2.0,8.0,4.0,vpri,1.0,1.0,1.0,5,Animon,22_23,2.132931,1.8551213489833691,45.97744677194851,60.36064764785693,21.555993500000003,32.53730419356953,6.82535,4.19735,13.7052,21.555993500000003
10336308641,0.675,2.0250000000000004,8.0,3.5,vpri,1.0,1.0,1.0,5,Animon,22_23,0.6735999999999998,0.6414940153189069,14.947876019591993,23.151239344344443,22.191027345,36.089564035660146,8.747666500000001,4.1123335,12.175811,22.191027345
