MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,16.0,323.92515099999986,210.35123959234983,0.649382238282417,0.38966312421817995,0.07440841342478202,0.013990311142516658,0.24116393336092118,0.0,0.8540766866796607,5,3,4,0,all,9999,DRE,After Drilling,,,3,4,,,323.92515099999986,
Animon,vofe,21_22,16.0,323.92515099999986,210.35123959234983,0.649382238282417,0.38966312421817995,0.07440841342478202,0.013990311142516658,0.24116393336092118,0.0,0.8540766866796607,5,3,4,0,in_situ,9999,DRE,After Drilling,,,3,4,,,323.92515099999986,
Animon,vofe,21_22,16.0,323.92515099999986,210.35123959234983,0.649382238282417,0.38966312421817995,0.07440841342478202,0.013990311142516658,0.24116393336092118,0.0,0.8540766866796607,5,3,4,0,all,100,DRE,After Drilling,,,3,4,,,323.92515099999986,
Animon,vofe,21_22,16.0,323.92515099999986,210.35123959234983,0.649382238282417,0.38966312421817995,0.07440841342478202,0.013990311142516658,0.24116393336092118,0.0,0.8540766866796607,5,3,4,0,in_situ,100,DRE,After Drilling,,,3,4,,,323.92515099999986,
Animon,vofe,21_22,16.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,all,9999,DRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,16.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,in_situ,9999,DRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,16.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,all,100,DRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,16.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,in_situ,100,DRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,22.0,326789.0620321246,1581613.3399744807,4.839860092437862,1.2146197195939006,0.5768340813749111,0.09275624483699173,3.909854024502028,3.3632947417505783e-06,1.2158642605499497,5,4,4,0,all,9999,DRE,After Drilling,,,,4,,,,41649.65500190662
Animon,vofe,21_22,22.0,285139.407030218,1448620.32271709,5.080393263788932,1.1030257894209035,0.5986708948046597,0.08447554050299907,4.3298779050743335,3.8545634412355e-06,1.2975098450309293,5,4,4,0,in_situ,9999,DRE,After Drilling,,,,4,,,,-41649.65500190662
