FLAG,BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
,10101101665,2.7,3.6,1,3.6,vtan,2,2,8,6,San Cristobal,22_23,0.75703342,0.777110931,0.845053696,16.01769656,1.11627,20.61185336,0.9452,0.02,0.193,1.11627
,10101284572,3,3.6,1,3.6,vtan,1,1,1,5,San Cristobal,22_23,0.811291277,0.942568863,47.22781108,17.93345012,58.213138,19.02614316,44.9998,3.2748,12.8706,58.213138
,10101300558,1.7,2.2,1,4.2,vtan,1,2,2,1,San Cristobal,22_23,0.448131253,0.483258161,7.315006428,8.160240075,16.323357,16.88588156,11.9525,1.5023,3.7642,16.323357
,10101301174,3.691666667,4.308333333,1,5.4,vtan,1,2,2,1,San Cristobal,22_23,0.434544881,0.468782,1.001994879,6.615100424,2.305849,14.11125091,2.072625,0.025883333,0.26475,2.305849
,10101301191,2.3,2.8,1,4.4,vtan,1,2,2,1,San Cristobal,22_23,0.379947,0.458814496,10.18470084,5.579112275,26.805583,12.15984309,21.3348,1.5966,5.0455,26.805583
,10101301004,0.6,1.2,1,4.4,vtan,1,2,2,1,San Cristobal,22_23,0.358211095,0.45533132,16.9388169,4.354015518,47.287248,9.562301832,36.2187,1.3939,12.3699,47.287248
,DDH-U-SC-11-037,188.2428571,188.6571429,1,222,vtan,1,1,1,5,San Cristobal,22_23,0.724478591,0.857608159,18.27374498,14.08000929,25.22330571,16.41776509,24.8,0.02,0.512285714,25.22330571
,10101301023,2.1,2.6,1,3.1,vtan,1,2,2,1,San Cristobal,22_23,0.298838225,0.451020087,14.19080558,4.178973203,47.486581,9.265603301,41.5775,0.7378,6.6113,47.486581
,10101301045,3.6,3.9,1,4.4,vtan,1,2,2,1,San Cristobal,22_23,0.298838225,0.451020087,18.08527041,4.178973203,60.518598,9.265603301,25.8432,3.0376,40.317,60.518598
,10101301076,2.3,2.6,1,4.7,vtan,1,2,2,1,San Cristobal,22_23,0.305592284,0.442890723,14.05644164,1.505314672,45.997371,3.398839925,17.0926,6.6914,28.7111,45.997371
,10101303531,3.03,3.37,1,4,vtan,1,2,2,1,San Cristobal,22_23,0.64569,0.431025,8.832678066,2.135344199,13.6794407,4.954107532,11.81475,0.29353,2.01482,13.6794407
,10101304331,1.04,1.56,1,4.7,vtan,1,2,2,1,San Cristobal,22_23,0.716098543,0.419518278,18.08102288,3.019895279,25.2493502,7.198483202,22.70974,0.37918,2.76832,25.2493502
,10101304372,3.75,4.05,1,4.2,vtan,1,2,2,1,San Cristobal,22_23,0.576353094,0.407608473,13.94206923,2.318067691,24.1901525,5.686995835,18.89355,0.0926,6.59555,24.1901525
,DDHUSC22094,218.6714286,219.0285714,1,296.5,vtan,3,4,16,3,San Cristobal,22_23,0.201743983,0.356599556,2.45327814,2.046878133,12.16035343,5.739990691,10.55671429,0.202385714,1.791671429,12.16035343
,10101304419,1.64,2.16,1,4.1,vtan,1,2,2,1,San Cristobal,22_23,0.650369742,0.409325,20.7291916,2.47270531,31.8729336,6.040934,25.62152,0.13194,7.75786,31.8729336
,DDHUSC23106,6.724432,7.0232955,1,263.8,vtan,3,3,15,7,San Cristobal,22_23,0.299237006,0.253336421,0.060167585,0.887306337,0.20107,3.502482328,0.03,0.02,0.193,0.20107
,DDHUSC23112,6.015873,6.316667,1,265.1,vtan,3,3,15,7,San Cristobal,22_23,0.299101843,0.245795619,0.060140408,0.870382974,0.20107,3.541084166,0.03,0.02,0.193,0.20107
,10101304471,3.3,3.8,1,3.8,vtan,1,2,2,1,San Cristobal,22_23,0.537816816,0.410501,26.07167855,3.81905213,48.476875,9.303393,42.2071,0.609,7.2195,48.476875
,10101304475,3.2,3.7,1,4,vtan,1,2,2,1,San Cristobal,22_23,0.537816816,0.410501,15.58438187,3.81905213,28.977119,9.303393,23.4156,0.4153,6.551,28.977119
,DDHUSC22101,139.55,140.1,1,252.5,vtan,3,3,15,7,San Cristobal,22_23,0.296976,0.192860712,0.743671262,0.628334425,2.504146,3.257970059,2.0317,0.0758,0.5088,2.504146
,DDHUSC22120,150.8717949,151.3782051,1,275.25,vtan,3,3,15,7,San Cristobal,22_23,0.540535,0.213906833,1.232634891,0.904668544,2.280397923,4.229264353,2.021523077,0.083774359,0.229069231,2.280397923
,10101304272,0.457894737,1.442105263,1,4.2,vtan,1,2,2,1,San Cristobal,22_23,1.138385,0.399931964,14.95904096,4.174050293,13.14058158,10.43690095,11.78978421,0.063357895,1.635284211,13.14058158
,DDHUSC22174,34.3326087,34.9173913,1,243.6,vtan,3,3,15,7,San Cristobal,22_23,0.297516201,0.262883951,0.17160715,1.032978551,0.576799348,3.929408948,0.061478261,0.02,0.62876087,0.576799348
,10101305508,3.5,4.1,1,4.1,vtan,1,2,2,1,San Cristobal,22_23,0.720977862,0.379513987,33.08429271,4.334170625,45.888084,11.42031854,34.9623,1.4226,12.1554,45.888084
,10101305549,4.15,4.45,1,4.6,vtan,1,2,2,1,San Cristobal,22_23,0.553378128,0.376934,14.16420099,4.487633457,25.5958815,11.90562129,20.72625,0.29535,5.8164,25.5958815
,DDHUSC22109,145.3,145.6,1,293.25,vtan,3,3,15,7,San Cristobal,22_23,0.424303492,0.188367,0.085314703,1.021822767,0.20107,5.424637897,0.03,0.02,0.193,0.20107
,DDHUSC22150,129.563068,129.8642045,1,229,vtan,3,3,15,7,San Cristobal,22_23,0.301979549,0.156559138,0.060719028,0.388194571,0.20107,2.479539526,0.03,0.02,0.193,0.20107
,DDHUSC22127,138.9323395,139.2327985,1,287.1,vtan,3,3,15,7,San Cristobal,22_23,0.315712112,0.179924265,0.063480234,0.804391152,0.20107,4.47072078,0.03,0.02,0.193,0.20107
,DDHUSC22135,132.05,132.6,1,307.9,vtan,3,3,15,7,San Cristobal,22_23,0.28254639,0.193844683,3.403874226,0.24496909,12.047134,1.263739024,8.7627,0.4814,3.5908,12.047134
,DDHUSC22157,128.395395,128.6967105,1,346.5,vtan,3,3,15,7,San Cristobal,22_23,0.270083188,0.202637157,0.054305627,0.15439064,0.20107,0.761906857,0.03,0.02,0.193,0.20107
,10101050447,2.1,3.4,1,3.4,vta,1,1,1,5,San Cristobal,22_23,0.533494,2.850835,0.678140228,23.4143868,1.27113,8.213168,1.0982,0.022,0.193,1.27113
,10101155482,3.3,4.5,1,4.5,vta,1,1,1,5,San Cristobal,22_23,0.531244791,1.987191286,0.169716773,3.709645684,0.31947,1.866778357,0.1484,0.02,0.193,0.31947
,10101266886,1.8,2.7,1,3.9,vta,3,3,15,7,San Cristobal,22_23,0.535549226,0.839279,0.249624314,5.716900818,0.466109,6.811681,0.1599,0.0322,0.3497,0.466109
,10101265904,1,1.6,1,2.5,vles,4,4,22,8,San Cristobal,22_23,0.652759191,0.652634442,7.663667056,0.153002274,11.74042,0.234437941,4.8752,1.6971,6.6923,11.74042
,10101284671,0,0.9,1,4.1,vles,4,4,22,8,San Cristobal,22_23,0.611203926,0.610993222,0.580726243,0.662188498,0.950135,1.083790251,0.0434,0.0252,1.1181,0.950135
,10101267693,0.7,1.1,1,6,vles,3,3,15,7,San Cristobal,22_23,0.355153,0.355153,0.086419379,4.276649154,0.24333,12.04170922,0.05415,0.0207,0.2151,0.24333
,DDHUSC22168,33.561966,33.862393,1,254.6,vles,4,4,22,8,San Cristobal,22_23,0.082751914,0.082751914,0.016638927,0.498781483,0.20107,6.027431356,0.03,0.02,0.193,0.20107
,DDHUSC22121,27.199254,27.498881,1,183.4,vles,4,4,22,8,San Cristobal,22_23,0.080508144,0.080508144,0.016187772,0.477899237,0.20107,5.936035954,0.03,0.02,0.193,0.20107
,DDHUSC22117,15.248544,15.548058,1,128.3,vles,4,4,22,8,San Cristobal,22_23,0.078779639,0.078779639,0.015840222,0.447017124,0.20107,5.674272329,0.03,0.02,0.193,0.20107
,DDHUSC22156,51.350725,51.650362,1,249.9,vles,4,4,22,8,San Cristobal,22_23,0.105192708,0.105192708,0.021151098,0.620785566,0.20107,5.901412551,0.03,0.02,0.193,0.20107
,DDHUSC22173,28.858537,29.159146,1,191.6,vles,4,4,22,8,San Cristobal,22_23,0.081757559,0.081757559,0.016438992,0.489010439,0.20107,5.981225999,0.03,0.02,0.193,0.20107
,DDHUSC22153,16.519231,16.81958,1,154.9,vles,4,4,22,8,San Cristobal,22_23,0.078361,0.078361,0.015756046,0.458097693,0.20107,5.845990895,0.03,0.02,0.193,0.20107
