BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
DDHUCH21269,119.4,120.0,1.0,221.0,vnwc,4.0,-99.0,23.0,4,Animon,21_22,0.3431794905660375,0.0,0.06900310016811319,0.0,0.20107000000000005,0.0,0.03,0.02,0.193,0.20107000000000005
DDHUCH21314,101.615881,102.215385,1.0,367.2,vnwc,4.0,-99.0,23.0,4,Animon,21_22,0.3750621680428647,0.0,0.07541375012837882,0.0,0.20107000000000005,0.0,0.03,0.02,0.193,0.20107000000000005
DDHUCH21324,69.656667,70.258889,1.0,176.6,vnwc,4.0,-99.0,23.0,4,Animon,21_22,0.6777374119608158,0.0,0.13627266142296127,0.0,0.20107000000000005,0.0,0.03,0.02,0.193,0.20107000000000005
DDHUCH22032,44.6,46.0,1.0,351.9,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.6676854948405267,0.0,0.5620028993461785,0.0,0.8417180000000001,0.0,0.6022,0.0936,0.193,0.8417180000000001
DDHUCH22090,49.2,50.1,1.0,300.9,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.7459648378301859,0.0,3.822797285464796,0.0,5.1246346900000015,0.0,4.4621,0.246133,0.5489,5.1246346900000015
DDHUCH21333,53.70000000000001,54.45000000000001,1.0,320.0,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.7169271085540074,0.0,2.982632566644346,0.0,4.1603010000000005,0.0,3.7376,0.0709,0.4516,4.1603010000000005
DDHUCH21313,55.375,56.125,1.0,361.2,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.7374439999999999,0.0,0.24778192144399996,0.0,0.336001,0.0,0.1401,0.0467,0.193,0.336001
DDHUCH22012,56.975,57.725,1.0,351.2,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.6260459999999997,0.0,0.4531533803639997,0.0,0.723834,0.0,0.539,0.0348,0.193,0.723834
DDHUCH22056,62.3,63.3,1.0,290.0,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.37931907048936586,0.0,0.4587014482850984,0.0,1.209276,0.0,0.9041,0.1642,0.193,1.209276
DDHUCH21007,85.15,86.1,1.0,150.0,vnwc,2.0,-99.0,11.0,2,Animon,21_22,0.3028590000000001,0.0,0.7400907839790003,0.0,2.443681,0.0,1.558,0.3917,0.66,2.443681
10336217626,2.0,3.1,8.0,3.6,vnwc,1.0,-99.0,5.0,1,Animon,21_22,1.3052675236225135,0.0,7.109023398600418,0.0,5.446411,0.0,3.2048,1.2323,1.3868,5.446411
10336217472,0.475,1.425,8.0,3.9,vnwc,1.0,-99.0,5.0,1,Animon,21_22,1.6753704025672531,0.0,25.950316451855354,0.0,15.489301,0.0,7.421699999999999,4.6534,4.7341,15.489301
10336216717,0.0,1.2,8.0,3.7000000000000006,vnwc,1.0,-99.0,5.0,1,Animon,21_22,1.4352533338715492,0.0,16.733551607630233,0.0,11.65895331,0.0,5.903267,4.2897669999999986,2.2357,11.65895331
DDHUCH22010,88.8,89.7,1.0,370.0,vnwc,1.0,-99.0,5.0,1,Animon,21_22,0.8705240000000006,0.0,1.3009618258544409,0.0,1.49445831,0.0,0.975056,0.308,0.294889,1.49445831
